注文ID,日付,店舗,カテゴリ,商品名,単価,数量,割引率,支払方法,担当者
ORD006080,2024-12-24,名古屋店,本,漫画,1446,2,20.0,現金,伊藤
ORD006081,2024-02-14,福岡店,家電,マウス,10176,7,,交通系IC,山本
ORD006082,2024-03-13,オンライン,ゲーム,ゲームソフト,4103,5,5.0,クレジットカード,山本
ORD006083,2024-02-06,大阪店 ,本,参考書,15891,1,20.0,クレジットカード,鈴木
ORD006084,2024-03-22,名古屋店,ゲーム,ヘッドセット,25536,7,0.0,PayPay,佐藤
ORD006085,2024-02-01,福岡店,スポーツ,シューズ,3701,7,10.0,交通系IC,伊藤
ORD006086,2024-08-20,東京店,家電,キーボード,22156,2,0.0,PayPay,渡辺
ORD006087,2024-05-11,大阪店,本,雑誌,15698,6,0.0,PayPay,田中
ORD006088,2024-06-09,名古屋店,本,小説,2651,7,10.0,PayPay,山本
ORD006089,2024-08-12,大阪店,衣類,Tシャツ,24285,7,0.0,PayPay,高橋
ORD006090,2024-12-08,大阪店,家電,イヤホン,17469,2,5.0,交通系IC,佐藤
ORD006091,2024-04-20,名古屋店,食品,水,14120,10,0.0,現金,伊藤
ORD006092,2024/11/16,福岡店,ゲーム,ヘッドセット,1603,1,,クレジットカード,田中
ORD006093,2024-09-29,東京店,衣類,Tシャツ,1655,9,0.0,クレジットカード,渡辺
ORD006094,2024-05-10,オンライン,家電,イヤホン,6085,3,20.0,現金,高橋
ORD006095,2024-04-22,東京店,食品,パン,22002,4,0.0,現金,渡辺
ORD006096,2024-09-19,広島店,家電,モニター,15626,6,0.0,クレジットカード,田中
ORD006097,2024-09-24,大阪店,美容,BBクリーム,27630,7,5.0,クレジットカード,鈴木
ORD006098,2024-04-16,オンライン,衣類,Tシャツ,24656,10,20.0,交通系IC,田中
ORD006099,2024-06-20,大阪店,スポーツ,ダンベル,18154,2,0.0,交通系IC,鈴木
ORD006100,2024-12-05,オンライン,美容,化粧水,15949,1,0.0,交通系IC,渡辺
ORD006101,2024-05-20,広島店,食品,カップ麺,21625,8,,クレジットカード,鈴木
ORD006102,2024-10-11,東京店,食品,水,6559,,5.0,交通系IC,高橋
ORD006103,2024-12-30,名古屋店,本,参考書,1775,9,0.0,交通系IC,鈴木
ORD006104,2024-01-04,福岡店,家電,マウス,8928,1,0.0,交通系IC,山本
ORD006105,2024-07-26,オンライン,本,雑誌,8381,1,5.0,交通系IC,佐藤
ORD006106,2024-08-29,大阪店,食品,パン,12133,9,20.0,現金,鈴木
ORD006107,2024-07-04,大阪店,家電,マウス,11104,3,10.0,交通系IC,伊藤
ORD006108,2024-10-28,東京店,美容,BBクリーム,11812,6,0.0,現金,鈴木
ORD006109,2024-09-19,オンライン,衣類,靴下,28355,2,,現金,渡辺
ORD006110,2024-02-23,福岡店,本,参考書,25382,2,0.0,現金,田中
ORD006111,2024/01/14,広島店,衣類,ズボン,27068,10,5.0,現金,佐藤
ORD006112,2024-07-18,オンライン,家電,キーボード,26236,6,10.0,現金,高橋
ORD006113,2024-12-14,東京店,食品,水,15642,4,0.0,PayPay,伊藤
ORD006114,2024-03-29,名古屋店,家電,イヤホン,9805,8,0.0,クレジットカード,鈴木
ORD006115,2024-09-24,広島店,スポーツ,プロテイン,14522,2,0.0,PayPay,伊藤
ORD006116,2024-02-05,福岡店,家電,USBメモリ,20883,2,20.0,交通系IC,渡辺
ORD006117,2024-03-21,大阪店,美容,化粧水,9503,1,10.0,現金,田中
ORD006118,2024-01-26,大阪店,家電,モニター,1193,10,0.0,現金,伊藤
ORD006119,2024年01月28日,オンライン,食品,おにぎり,12896,4,0.0,PayPay,渡辺
ORD006120,2024-10-14,名古屋店,本,小説,22836,6,0.0,現金,田中
ORD006121,2024-11-26,広島店,美容,日焼け止め,22677,4,20.0,クレジットカード,渡辺
ORD006122,2024-03-02,名古屋店,衣類,ズボン,21299,3,5.0,PayPay,田中
ORD006123,2024-03-24,広島店,家電,イヤホン,27586,7,0.0,交通系IC,渡辺
ORD006124,2024-09-26,福岡店,美容,シャンプー,28242,1,5.0,交通系IC,田中
ORD006125,2024-11-17,広島店,本,漫画,18882,3,20.0,PayPay,山本
ORD006126,2024年09月02日,名古屋店,家電,イヤホン,7957,9,0.0,クレジットカード,鈴木
ORD006127,2024-01-22,名古屋店,ゲーム,コントローラー,25136,7,10.0,クレジットカード,高橋
ORD006128,2024-01-01,名古屋店,ゲーム,コントローラー,17125,3,0.0,現金,鈴木
ORD006129,2024年09月21日,オンライン,ゲーム,ヘッドセット,11918,8,10.0,クレジットカード,高橋
ORD006130,2024-09-18,名古屋店,ゲーム,ヘッドセット,14195,10,5.0,現金,山本
ORD006131,2024-12-05,大阪店,本,雑誌,16891,1,,現金,高橋
ORD006132,2024-06-07,大阪店,スポーツ,プロテイン,14734,7,10.0,交通系IC,高橋
ORD006133,2024-09-19,福岡店,美容,シャンプー,14162,1,0.0,PayPay,伊藤
ORD006134,2024-09-08,広島店 ,食品,カップ麺,15524,9,10.0,PayPay,佐藤
ORD006135,2024-11-09,名古屋店,ゲーム,ゲームソフト,24072,9,20.0,現金,田中
ORD006136,2024-01-03,広島店,本,小説,24452,8,20.0,交通系IC,鈴木
ORD006137,2024-04-13,東京店,衣類,靴下,3308,7,10.0,現金,佐藤
ORD006138,2024-05-12,福岡店,ゲーム,ゲームソフト,4428,5,0.0,PayPay,佐藤
ORD006139,2024-04-29,広島店,食品,水,17984,5,0.0,PayPay,鈴木
ORD006140,2024-02-25,大阪店,ゲーム,コントローラー,17681,9,,PayPay,高橋
ORD006141,2024-03-21,名古屋店,スポーツ,ダンベル,3322,6,0.0,PayPay,佐藤
ORD006142,2024-01-31,福岡店,本,漫画,27774,10,0.0,交通系IC,田中
ORD006143,2024-04-03,名古屋店,食品,おにぎり,21052,2,0.0,クレジットカード,鈴木
ORD006144,2024-02-20,オンライン,スポーツ,シューズ,9830,2,5.0,現金,山本
ORD006145,2024-08-21,広島店,衣類,Tシャツ,9483,8,0.0,PayPay,渡辺
ORD006146,2024-08-23,広島店,本,参考書,18543,9,5.0,PayPay,高橋
ORD006147,2024-06-15,東京店,衣類,ズボン,6657,8,,PayPay,渡辺
ORD006148,2024-03-18,大阪店,食品,弁当,27726,7,0.0,交通系IC,伊藤
ORD006149,2024-07-08,東京店,美容,シャンプー,1582,5,5.0,交通系IC,山本
ORD006150,2024-01-16,福岡店,スポーツ,ダンベル,3298,2,20.0,PayPay,田中
ORD006151,2024-02-14,名古屋店,スポーツ,ダンベル,13255,5,0.0,交通系IC,田中
ORD006152,2024-02-12,福岡店,ゲーム,コントローラー,24458,1,10.0,クレジットカード,渡辺
ORD006153,2024-06-01,大阪店,美容,日焼け止め,24084,9,20.0,現金,伊藤
ORD006154,2024-09-18,福岡店,食品,弁当,"¥14,276",8,0.0,交通系IC,佐藤
ORD006155,2024-02-15,広島店,美容,シャンプー,8007,5,20.0,現金,田中
ORD006156,2024-09-23,広島店,食品,パン,19425,6,0.0,PayPay,佐藤
ORD006157,2024-02-22,オンライン,ゲーム,コントローラー,14862,10,0.0,交通系IC,田中
ORD006158,2024-05-23,オンライン,スポーツ,プロテイン,25014,7,0.0,交通系IC,佐藤
ORD006159,2024-09-30,広島店,美容,化粧水,21145,8,0.0,交通系IC,渡辺
ORD006160,2024-11-01,名古屋店,スポーツ,ダンベル,28831,4,10.0,クレジットカード,佐藤
ORD006161,2024-09-24,名古屋店,スポーツ,プロテイン,16376,1,20.0,交通系IC,伊藤
ORD006162,2024-02-26,東京店,スポーツ,プロテイン,21661,7,5.0,交通系IC,渡辺
ORD006163,2024-05-31,名古屋店,食品,パン,22616,6,0.0,現金,山本
ORD006164,2024-12-07,福岡店,家電,USBメモリ,14523,2,,現金,佐藤
ORD006165,2024-05-22,オンライン,本 ,参考書,2476,7,0.0,クレジットカード,山本
ORD006166,2024-03-04,東京店,本,小説,15188,6,5.0,交通系IC,鈴木
ORD006167,2024-09-12,福岡店,家電,イヤホン,16391,4,,交通系IC,高橋
ORD006168,2024-07-10,名古屋店,美容,シャンプー,3954,6,20.0,PayPay,伊藤
ORD006169,2024-04-09,名古屋店,家電,イヤホン,22135,3,10.0,PayPay,田中
ORD006170,2024-10-30,東京店,食品,弁当,10929,3,5.0,PayPay,伊藤
ORD006171,2024-08-10,東京店,本,漫画,27118,4,10.0,PayPay,渡辺
ORD006172,2024-09-05,広島店,美容,化粧水,3312,8,5.0,クレジットカード,山本
ORD006173,2024-10-16,オンライン,衣類,ジャケット,8749,5,5.0,交通系IC,佐藤
ORD006174,2024-07-05,大阪店,ゲーム,コントローラー,14802,9,10.0,交通系IC,鈴木
ORD006175,2024-02-04,名古屋店,美容,化粧水,204,9,5.0,クレジットカード,伊藤
ORD006176,2024-01-11,名古屋店,スポーツ,プロテイン,5238,3,5.0,交通系IC,伊藤
ORD006177,2024-08-09,東京店,本,参考書,6017,7,0.0,交通系IC,高橋
ORD006178,2024-02-05,東京店,スポーツ,シューズ,8609,6,0.0,交通系IC,佐藤
ORD006179,2024-07-13,広島店 ,本,漫画,22885,7,5.0,PayPay,鈴木
ORD006180,2024-08-22,名古屋店,ゲーム,ゲームソフト,27136,10,10.0,現金,渡辺
ORD006181,2024-12-28,名古屋店,美容,化粧水,1553,1,10.0,現金,田中
ORD006182,2024-02-14,オンライン,家電,キーボード,16269,9,0.0,クレジットカード,渡辺
ORD006183,2024-02-13,名古屋店,スポーツ,プロテイン,21732,4,5.0,交通系IC,鈴木
ORD006184,2024-11-05,広島店,本,雑誌,27925,4,0.0,現金,鈴木
ORD006185,2024-09-23,広島店,スポーツ,プロテイン,2196,7,10.0,PayPay,高橋
ORD006186,2024-01-16,大阪店,本,漫画,475,1,0.0,現金,高橋
ORD006187,2024/12/01,大阪店 ,ゲーム,コントローラー,886,9,0.0,現金,伊藤
ORD006188,2024-05-11,福岡店,家電,USBメモリ,27102,5,0.0,交通系IC,佐藤
ORD006189,2024/10/13,東京店,スポーツ,シューズ,12387,2,5.0,交通系IC,佐藤
ORD006190,2024-02-18,東京店,ゲーム,ヘッドセット,9775,2,0.0,PayPay,伊藤
ORD006191,2024-10-08,名古屋店,美容,BBクリーム,22157,3,0.0,現金,高橋
ORD006192,2024-06-10,大阪店,ゲーム,コントローラー,27672,8,0.0,PayPay,佐藤
ORD006193,2024-07-07,広島店,本,参考書,5979,1,,クレジットカード,佐藤
ORD006194,2024-08-02,広島店,ゲーム,ゲームソフト,24561,3,10.0,現金,渡辺
ORD006195,2024-01-03,広島店,スポーツ,シューズ,27485,1,0.0,現金,渡辺
ORD006196,2024-09-05,東京店,家電,マウス,28114,1,20.0,クレジットカード,山本
ORD006197,2024-03-19,名古屋店,衣類,Tシャツ,17793,5,0.0,交通系IC,田中
ORD006198,2024年03月16日,福岡店,ゲーム,ヘッドセット,23910,4,20.0,現金,鈴木
ORD006199,2024-06-29,名古屋店,美容,BBクリーム,8873,2,10.0,クレジットカード,山本
ORD006200,2024-03-27,名古屋店,スポーツ,プロテイン,7771,7,5.0,PayPay,田中
ORD006201,2024-12-22,オンライン,衣類,ジャケット,1604,4,,クレジットカード,高橋
ORD006202,2024-08-18,広島店,家電,マウス,28688,10,0.0,PayPay,伊藤
ORD006203,2024年03月10日,広島店,食品,弁当,11621,3,,現金,伊藤
ORD006204,2024-03-14,広島店,食品,パン,8267,5,10.0,クレジットカード,田中
ORD006205,2024/09/19,オンライン,ゲーム,コントローラー,11835,7,0.0,クレジットカード,高橋
ORD006206,2024-05-04,東京店,衣類,ズボン,21480,5,0.0,PayPay,田中
ORD006207,2024-11-29,オンライン,衣類,ズボン,29319,9,0.0,クレジットカード,佐藤
ORD006208,2024-11-16,広島店,スポーツ,プロテイン,21255,6,,クレジットカード,伊藤
ORD006209,2024-05-25,東京店,本,雑誌,9327,1,,クレジットカード,渡辺
ORD006210,2024-03-25,東京店,ゲーム,ヘッドセット,3545,8,,クレジットカード,高橋
ORD006211,2024-01-27,名古屋店,本,参考書,15680,5,10.0,交通系IC,山本
ORD006212,2024-09-06,名古屋店,ゲーム,ゲームソフト,24637,3,,クレジットカード,田中
ORD006213,2024-06-07,広島店,スポーツ,ヨガマット,5753,6,10.0,クレジットカード,伊藤
ORD006214,2024-02-29,大阪店,家電,マウス,3668,7,5.0,PayPay,渡辺
ORD006215,2024-06-19,東京店,美容,シャンプー,8906,5,0.0,クレジットカード,佐藤
ORD006216,2024-03-05,福岡店 ,スポーツ,ヨガマット,21111,,20.0,PayPay,佐藤
ORD006217,2024-10-11,広島店,家電,モニター,20522,6,20.0,現金,田中
ORD006218,2024-06-02,オンライン,スポーツ,ダンベル,13370,10,5.0,PayPay,鈴木
ORD006219,2024-02-02,福岡店,衣類,靴下,4129,2,,現金,伊藤
ORD006220,2024-05-09,福岡店,食品,おにぎり,"¥21,564",7,5.0,クレジットカード,鈴木
ORD006221,2024-07-31,東京店,ゲーム,コントローラー,26615,4,,現金,鈴木
ORD006222,2024-11-19,オンライン,家電,USBメモリ,3806,8,,交通系IC,渡辺
ORD006223,2024-01-17,広島店,美容,化粧水,23059,2,0.0,クレジットカード,鈴木
ORD006224,2024/03/23,福岡店,食品,おにぎり,16907,9,10.0,クレジットカード,佐藤
ORD006225,2024-12-25,広島店,美容,BBクリーム,不明,9,,現金,伊藤
ORD006226,2024-07-16,東京店,ゲーム,ヘッドセット,14305,6,20.0,交通系IC,高橋
ORD006227,2024-01-19,オンライン,ゲーム,ゲームソフト,8854,3,10.0,現金,伊藤
ORD006228,2024-05-09,大阪店,スポーツ,シューズ,26398,,10.0,交通系IC,田中
ORD006229,2024-05-19,名古屋店,衣類,靴下,25323,7,20.0,クレジットカード,高橋
ORD006230,2024/09/15,福岡店,衣類,ジャケット,15611,9,10.0,現金,田中
ORD006231,2024-07-08,東京店,ゲーム,ゲームソフト,21506,9,,PayPay,伊藤
ORD006232,2024-09-25,大阪店,スポーツ,シューズ,16133,2,20.0,現金,伊藤
ORD006233,2024-10-18,福岡店,食品,お茶,12259,9,5.0,現金,渡辺
ORD006234,2024-04-04,オンライン,ゲーム,ヘッドセット,12204,2,0.0,現金,鈴木
ORD006235,2024-02-01,大阪店,衣類,Tシャツ,8516,2,20.0,現金,山本
ORD006236,2024-06-12,オンライン,ゲーム,ゲームソフト,18442,,,交通系IC,鈴木
ORD006237,2024-01-06,福岡店,スポーツ,ヨガマット,16751,3,10.0,現金,伊藤
ORD006238,2024-09-28,広島店,本,雑誌,13999,3,0.0,PayPay,山本
ORD006239,2024-12-04,東京店,食品,おにぎり,19717,2,5.0,PayPay,伊藤
ORD006240,2024-11-13,福岡店,食品,おにぎり,6703,2,10.0,クレジットカード,伊藤
ORD006241,2024-12-20,福岡店,家電,USBメモリ,1775,5,,交通系IC,高橋
ORD006242,2024-11-09,名古屋店,食品,水,9826,6,10.0,PayPay,高橋
ORD006243,2024-05-25,広島店,衣類,Tシャツ,29916,4,0.0,PayPay,渡辺
ORD006244,2024-04-11,広島店,食品,パン,16503,4,0.0,交通系IC,鈴木
ORD006245,2024-02-07,大阪店,食品,水,15214,9,0.0,交通系IC,渡辺
ORD006246,2024-02-26,大阪店,衣類,ズボン,13693,5,5.0,現金,渡辺
ORD006247,2024/10/22,オンライン,本,漫画,17868,10,20.0,クレジットカード,鈴木
ORD006248,2024-10-17,東京店,家電,キーボード,28017,10,10.0,PayPay,山本
ORD006249,2024-09-14,大阪店 ,衣類,ズボン,24542,4,0.0,交通系IC,伊藤
ORD006250,2024-05-06,福岡店,食品,水,11358,8,20.0,現金,山本
ORD006251,2024-07-27,大阪店,食品,お茶,1330,9,10.0,現金,山本
ORD006252,2024-08-21,広島店,家電,USBメモリ,15230,3,,PayPay,渡辺
ORD006253,2024-04-09,東京店,ゲーム,ヘッドセット,5423,6,0.0,PayPay,鈴木
ORD006254,2024-06-05,名古屋店,スポーツ,シューズ,"¥6,114",3,,交通系IC,佐藤
ORD006255,2024-01-16,東京店,家電,モニター,4852,5,20.0,クレジットカード,田中
ORD006256,2024-08-10,オンライン,ゲーム,ヘッドセット,16269,2,0.0,交通系IC,伊藤
ORD006257,2024-11-21,東京店,美容,日焼け止め,3443,9,,現金,佐藤
ORD006258,2024-11-08,名古屋店,ゲーム,コントローラー,3416,8,0.0,クレジットカード,佐藤
ORD006259,2024-08-03,福岡店,衣類,Tシャツ,10286,1,0.0,交通系IC,高橋
ORD006260,2024-09-29,福岡店,スポーツ,プロテイン,5237,9,0.0,クレジットカード,山本
ORD006261,2024-11-11,名古屋店,ゲーム,コントローラー,17971,8,,現金,田中
ORD006262,2024-08-19,福岡店,家電,マウス,27020,10,5.0,交通系IC,高橋
ORD006263,2024-10-01,オンライン,本,小説,21273,10,,交通系IC,高橋
ORD006264,2024-09-18,東京店,食品,パン,16018,4,,クレジットカード,高橋
ORD006265,2024-09-01,大阪店,家電,マウス,28922,5,0.0,PayPay,伊藤
ORD006266,2024-09-25,広島店,美容,化粧水,28636,5,0.0,クレジットカード,伊藤
ORD006267,2024-04-28,大阪店,食品,お茶,14831,9,5.0,交通系IC,高橋
ORD006268,2024-12-14,大阪店,スポーツ,プロテイン,2374,5,0.0,PayPay,山本
ORD006269,2024-01-31,広島店,ゲーム,ゲームソフト,8928,1,5.0,クレジットカード,佐藤
ORD006270,2024/06/24,福岡店,ゲーム,コントローラー,2959,9,5.0,PayPay,伊藤
ORD006271,2024-01-15,東京店,衣類,靴下,774,6,0.0,交通系IC,渡辺
ORD006272,2024-03-23,名古屋店,ゲーム,コントローラー,2488,1,5.0,交通系IC,佐藤
ORD006273,2024年04月05日,オンライン,ゲーム,ゲームソフト,28036,8,0.0,PayPay,佐藤
ORD006274,2024-11-02,オンライン,家電,イヤホン,12892,6,5.0,クレジットカード,山本
ORD006275,2024-01-21,オンライン,美容,シャンプー,8446,7,0.0,現金,田中
ORD006276,2024-02-25,オンライン,食品,パン,7615,3,5.0,PayPay,佐藤
ORD006277,2024年05月04日,広島店,家電,モニター,11552,6,,クレジットカード,鈴木
ORD006278,2024-11-22,名古屋店,食品,おにぎり,25326,5,0.0,クレジットカード,鈴木
ORD006279,2024-12-15,オンライン,スポーツ,ヨガマット,17010,6,0.0,PayPay,高橋
ORD006280,2024-05-11,オンライン,家電,マウス,7348,7,5.0,クレジットカード,伊藤
ORD006281,2024-12-03,広島店,ゲーム,コントローラー,22128,6,0.0,交通系IC,高橋
ORD006282,2024-02-07,東京店,スポーツ,ダンベル,17680,2,10.0,現金,佐藤
ORD006283,2024-08-12,大阪店,食品,お茶,18973,2,20.0,現金,佐藤
ORD006284,2024/05/20,広島店,本,漫画,15465,4,5.0,交通系IC,鈴木
ORD006285,2024-02-23,名古屋店,家電,キーボード,14163,1,0.0,交通系IC,山本
ORD006286,2024-02-07,オンライン,美容,シャンプー,27674,1,,交通系IC,高橋
ORD006287,2024-12-13,大阪店,衣類,Tシャツ,17984,4,0.0,現金,鈴木
ORD006288,2024-01-18,広島店,衣類,ズボン,24908,2,,現金,渡辺
ORD006289,2024-01-21,大阪店,家電,キーボード,14705,,0.0,交通系IC,高橋
ORD006290,2024-06-07,広島店,本,小説,20880,5,0.0,クレジットカード,渡辺
ORD006291,2024-11-05,オンライン,本,漫画,17667,7,10.0,交通系IC,伊藤
ORD006292,2024-07-13,オンライン,衣類,ズボン,10989,4,20.0,交通系IC,渡辺
ORD006293,2024-06-30,大阪店,ゲーム,コントローラー,27580,8,20.0,交通系IC,渡辺
ORD006294,2024-01-31,大阪店,食品,パン,14816,10,0.0,交通系IC,渡辺
ORD006295,2024-07-11,広島店,家電,キーボード,29662,4,10.0,PayPay,田中
ORD006296,2024-10-18,福岡店,食品,お茶,"¥12,981",4,0.0,交通系IC,渡辺
ORD006297,2024-12-19,名古屋店,スポーツ,プロテイン,19360,5,10.0,交通系IC,高橋
ORD006298,2024-08-06,広島店,ゲーム,ヘッドセット,10132,9,0.0,PayPay,山本
ORD006299,2024-05-30,オンライン,衣類,Tシャツ,2033,4,0.0,交通系IC,山本
ORD006300,2024-10-18,名古屋店,美容,化粧水,11239,6,0.0,PayPay,山本
ORD006301,2024-06-15,広島店,食品,カップ麺,4668,7,5.0,交通系IC,佐藤
ORD006302,2024-02-17,東京店,本,参考書,5208,5,,PayPay,伊藤
ORD006303,2024-02-02,東京店,美容 ,シャンプー,10428,8,0.0,交通系IC,田中
ORD006304,2024-10-30,大阪店,家電,モニター,25911,7,0.0,交通系IC,鈴木
ORD006305,2024-01-28,広島店,本,漫画,3672,2,5.0,現金,伊藤
ORD006306,2024-07-21,オンライン,衣類,ズボン,15445,6,0.0,交通系IC,佐藤
ORD006307,2024-05-04,広島店 ,スポーツ,ヨガマット,4573,3,,交通系IC,佐藤
ORD006308,2024-10-15,東京店,本,漫画,9904,4,0.0,クレジットカード,山本
ORD006309,2024-06-14,名古屋店,食品,おにぎり,22300,8,10.0,交通系IC,山本
ORD006310,2024-07-02,大阪店,ゲーム,コントローラー,23564,10,5.0,クレジットカード,佐藤
ORD006311,2024-01-17,オンライン,本,参考書,15962,4,0.0,クレジットカード,高橋
ORD006312,2024-12-09,オンライン,ゲーム,ゲームソフト,19478,8,0.0,現金,山本
ORD006313,2024-07-20,大阪店,衣類,靴下,26077,6,0.0,現金,高橋
ORD006314,2024-08-24,オンライン,スポーツ,ダンベル,3020,7,0.0,現金,高橋
ORD006315,2024-03-06,大阪店,スポーツ,ダンベル,23570,8,0.0,クレジットカード,佐藤
ORD006316,2024-03-29,東京店,衣類,ズボン,23544,3,10.0,PayPay,渡辺
ORD006317,2024-11-15,東京店,衣類,靴下,21415,2,0.0,PayPay,田中
ORD006318,2024年08月24日,東京店,本,参考書,15229,1,20.0,PayPay,鈴木
ORD006319,2024-02-16,名古屋店,家電,イヤホン,25811,2,0.0,PayPay,鈴木
ORD006320,2024-08-28,福岡店,スポーツ,シューズ,12357,4,0.0,クレジットカード,伊藤
ORD006321,2024-04-04,オンライン,食品,パン,24705,10,5.0,PayPay,田中
ORD006322,2024-12-30,東京店,本,雑誌,"¥6,053",8,10.0,交通系IC,渡辺
ORD006323,2024-07-01,名古屋店,美容,BBクリーム,2053,8,10.0,交通系IC,山本
ORD006324,2024-07-22,大阪店,食品,カップ麺,23250,7,20.0,PayPay,田中
ORD006325,2024-02-04,名古屋店,スポーツ,シューズ,1636,3,0.0,交通系IC,佐藤
ORD006326,2024-08-10,福岡店,ゲーム,ヘッドセット,17033,10,10.0,現金,田中
ORD006327,2024/01/21,広島店,衣類,Tシャツ,26410,9,20.0,PayPay,田中
ORD006328,2024-06-08,広島店,ゲーム,ヘッドセット,29177,5,5.0,PayPay,田中
ORD006329,2024-12-04,名古屋店,ゲーム,ヘッドセット,3059,2,20.0,現金,鈴木
ORD006330,2024-12-17,名古屋店,スポーツ,ヨガマット,17831,7,,PayPay,高橋
ORD006331,2024-01-19,名古屋店,家電,マウス,1305,4,20.0,現金,佐藤
ORD006332,2024-04-24,名古屋店,食品,おにぎり,2514,3,10.0,現金,佐藤
ORD006333,2024-03-23,福岡店,美容,日焼け止め,5909,7,,PayPay,高橋
ORD006334,2024-07-05,広島店,本,参考書,10395,5,,PayPay,山本
ORD006335,2024-01-05,名古屋店,家電,USBメモリ,3682,2,5.0,交通系IC,伊藤
ORD006336,2024-05-07,オンライン,美容,化粧水,3680,6,0.0,クレジットカード,山本
ORD006337,2024/06/08,大阪店,美容,化粧水,19971,10,0.0,交通系IC,渡辺
ORD006338,2024-01-28,名古屋店,食品,パン,25629,2,,PayPay,渡辺
ORD006339,2024-10-28,大阪店,美容,日焼け止め,28734,1,10.0,交通系IC,伊藤
ORD006340,2024-02-10,名古屋店,家電,キーボード,19489,7,10.0,クレジットカード,伊藤
ORD006341,2024-07-10,東京店,食品,水,19927,2,10.0,現金,佐藤
ORD006342,2024/08/26,オンライン,衣類,ジャケット,22220,4,10.0,クレジットカード,佐藤
ORD006343,2024-05-17,東京店,美容,シャンプー,13912,5,,クレジットカード,田中
ORD006344,2024-01-27,広島店,美容,シャンプー,25835,10,0.0,クレジットカード,山本
ORD006345,2024-10-11,大阪店,ゲーム,ゲームソフト,1331,8,5.0,交通系IC,渡辺
ORD006346,2024-06-16,広島店,本,漫画,370,7,10.0,クレジットカード,佐藤
ORD006347,2024-05-15,広島店,衣類,ズボン,740,1,,交通系IC,高橋
ORD006348,2024-08-19,オンライン,美容,シャンプー,416,2,,クレジットカード,渡辺
ORD006349,2024-09-20,福岡店,食品,水,27540,7,0.0,PayPay,高橋
ORD006350,2024-02-13,福岡店,本,参考書,2849,10,5.0,現金,伊藤
ORD006351,2024-11-16,東京店,食品,水,7007,2,20.0,現金,山本
ORD006352,2024-06-05,大阪店,家電,キーボード,18830,6,10.0,現金,高橋
ORD006353,2024-02-18,東京店,食品,パン,23792,5,,交通系IC,渡辺
ORD006354,2024-09-04,東京店,食品,カップ麺,23656,4,0.0,クレジットカード,伊藤
ORD006355,2024-06-08,名古屋店,ゲーム,コントローラー,24194,7,,現金,渡辺
ORD006356,2024-05-25,福岡店,美容,シャンプー,6187,5,0.0,クレジットカード,佐藤
ORD006357,2024-01-22,名古屋店 ,衣類,ズボン,"¥25,655",3,0.0,PayPay,佐藤
ORD006358,2024-02-20,オンライン,衣類,靴下,7405,1,10.0,クレジットカード,佐藤
ORD006359,2024年09月17日,広島店 ,食品,お茶,"¥11,835",3,0.0,クレジットカード,鈴木
ORD006360,2024-08-13,広島店,家電,マウス,17874,3,5.0,現金,田中
ORD006361,2024-11-30,大阪店,美容,日焼け止め,22103,5,10.0,交通系IC,高橋
ORD006362,2024-01-08,福岡店,本,参考書,14141,3,0.0,交通系IC,高橋
ORD006363,2024/01/17,大阪店,スポーツ,プロテイン,17366,7,0.0,交通系IC,高橋
ORD006364,2024-08-23,名古屋店,スポーツ,プロテイン,6474,7,10.0,交通系IC,伊藤
ORD006365,2024/04/11,大阪店,食品,カップ麺,23435,2,20.0,PayPay,伊藤
ORD006366,2024-10-05,名古屋店,食品,おにぎり,16942,3,10.0,クレジットカード,伊藤
ORD006367,2024-10-26,オンライン,ゲーム,ヘッドセット,13549,3,0.0,現金,佐藤
ORD006368,2024-05-13,広島店,衣類,ズボン,8974,5,0.0,現金,田中
ORD006369,2024年10月20日,福岡店,衣類,ジャケット,25578,6,5.0,交通系IC,渡辺
ORD006370,2024-09-06,名古屋店,家電,キーボード,24720,6,5.0,PayPay,伊藤
ORD006371,2024/05/11,広島店,スポーツ,シューズ,22792,10,0.0,現金,渡辺
ORD006372,2024-02-04,広島店,食品,おにぎり,26258,4,5.0,現金,伊藤
ORD006373,2024-07-06,オンライン,食品,おにぎり,3813,9,20.0,交通系IC,田中
ORD006374,2024-04-28,福岡店,美容,化粧水,297,9,0.0,現金,佐藤
ORD006375,2024年03月06日,東京店,ゲーム,コントローラー,5414,3,5.0,クレジットカード,渡辺
ORD006376,2024-10-18,オンライン,美容,化粧水,24633,5,10.0,PayPay,高橋
ORD006377,2024-01-07,広島店,美容,シャンプー,1630,5,,現金,鈴木
ORD006378,2024-10-07,名古屋店,衣類,ジャケット,25065,7,10.0,PayPay,山本
ORD006379,2024-08-11,オンライン,食品,水,3639,9,0.0,PayPay,田中
ORD006380,2024-06-05,名古屋店,本,雑誌,2308,4,,クレジットカード,田中
ORD006381,2024-11-04,名古屋店,ゲーム,ゲームソフト,22736,4,10.0,PayPay,鈴木
ORD006382,2024-09-10,広島店,食品,弁当,8757,5,20.0,交通系IC,高橋
ORD006383,2024-03-16,オンライン,家電,モニター,20858,4,,PayPay,山本
ORD006384,2024-04-08,大阪店,本,参考書,14293,,0.0,クレジットカード,伊藤
ORD006385,2024-07-28,オンライン,美容,日焼け止め,5991,8,20.0,現金,鈴木
ORD006386,2024-06-18,福岡店,家電,モニター,26287,3,,PayPay,山本
